doctype,section,topic,content
White Paper,Main Content,A Parametric Approach for Security Testing of Internet Applications,"The two main objectives of an application security testing are to: 1. Verify and validate that the security requirements for the application are met. 2. Identify the security vulnerabilities of the application under the given environment For security testing of an application, the first step is to capture requirements related to each of the security issue. This could not only be a tricky and painstaking exercise because the security requirements are seldom known very clearly at the time of project initiation. The traditional Use case approaches have proven quite useful in general requirements engineering, both for eliciting requirements and getting a better overview of the stated requirements [4]. However security requirements Presented at the essentially need to concentrate on what should not happen in the system and this cannot be captured by traditional Use case approach. Also, the security model of Internet applications has undergone many changes. The traditional model for securing an application from outside elements mainly relied on access control. This model was based on creating a hard perimeter wall around the system and providing a single access gate that can be opened only for authenticated users. This security model has worked well with most of the simple Internet based applications. The gateway here refers to a firewall that classifies all users as 'trusted' or 'untrusted'. In this simplistic model of security, every 'trusted' user who is allowed to cross the gate, gains access to every portion of one's business and no further security checks are done. As the requirements for security increases, the applications need to implement a fine-grained security. Instead of allowing the trusted user to access every portion of the business, the modern security models divide the business domain into many regions and ensure different levels of security for each region. This means creating a security perimeter for each region. The first level of security check can not be very rigorous as one would want to let in prospective customers, vendors and service providers as quickly as possible. Most of the Internet applications today have multiple security regions with different levels of security and these regions could be nested or overlapping with other regions within same single application. While developing an approach for testing security of these kinds of Internet applications, a proper strategy planning is very much essential. It is better to plan security testing at requirement gathering stage itself because there are many issues, which cannot be captured later on by usual methods of testing [2]. One such example is testing for denial of service attack. The issues discussed above make security testing of Internet a very challenging task. In the next section, a parametric approach to security testing is presented and each step is explained with the help of a sample example. Presented at the 3rd International Software Testing Conference, India The Parametric Approach for Security Testing As discussed in previous section, many of the security parameters cannot be captured and tested using traditional approach. In the proposed parametric approach for security testing, before we start the requirement gathering, a template to enlist all security parameters are created. This task can be achieved in four steps as described below: 1. Create an exhaustive list of all security issues in the application 2. Identify all possible sub parameter for each of these issues 3. List all the testing activities for each sub-parameter 4. Assign weightages corresponding to the level of security and priority. Once this template is ready, it can be used to streamline each stage of testing lifecycle. The lifecycle process of security testing is similar to the software development lifecycle process. In the proposed approach, the security testing lifecycle stages are as follows: Test bed Implementation Test Design and Analysis Capture security test requirements Test Reporting Figure 3.1: Security Testing life cycle a) Capture security test requirements b) Analyze and design security test scenarios c) Test bed implementation d) Interpreting test reports In the following sub-section each of these stages are explained. Presented at the 3rd International Software Testing Conference, India 3.1 Parametric Approach to Capture Security Test Requirements To define the scope of security testing, check the stated requirement against the parametric template. This will help in identifying all the missing elements or the gaps in security requirement capture. The next step would be to allocate appropriate weightages to the various security sub parameters. These weightages would typically be determined by the nature of business domain that the application caters to and the heuristic data available with the security test experts. For example, consider an e-shopping application for an online store. The key security requirement for such an application would be to ensure that the user who provides his own payment information is indeed, who he claims to be and to make sure that the information provided is correct and is not visible to anyone else. From that perspective, authentication, confidentiality and non-repudiation are the key parameters for consideration. One possible set of weightages for these parameters could be 0.5, 0.25 and 0.25 respectively (on the scale of 0 to 1). This is in line with the impact; a security breach could have on the business. The advantage of assigning appropriate weightages is that it helps to optimize the test scenarios for each of these parameters. On the next page, table 3.1 presents a sample parametric table. The snapshot in table 3.1 only comprises of those parameters that are relevant for testing the application requirement. The main security parameters, as listed in the table 3.1 are - Authentication, Authorization, Access control, Non-Repudiation and Audit control. This list is just a sample list and in actual scenario there can be many more parameters in the template. These parameters are further classified according to testing subtask. For example the requirement of authentication can be implemented using userid/password, smart card, biometric and digital certificates. And each one of this implementation has different testing requirement. Based on the testing complexity, appropriate weightages are assigned. The weightages can be determined based on past experience and the series of interactions conducted with the customer during the requirement gather- Presented at the 3rd International Software Testing Conference, India ing stage. Going back to the example, since biometric requires substantial investment from the client's side the digital certificates score higher than the other modes of implementing authentication. The last column holds the priority level assigned to each sub-parameter. The business domain and the experience of the test expert determine the priority level assigned to each sub-parameter. For example, consider a case of Internet banking application. Here the authentication is slightly of higher priority than that of authorization or access control. Where as in case of a b2b application the authorization and the access control takes higher priority. All the parametric values are recorded and this constitutes a requirement document outlining the areas and the level of testing that has to be executed. No. Parameters Dimension (scale of 1 - 5) Dimension (scale 1 - 5) Dimension (scale 1 - 5) Dimension (scale 1 - 5) Dimension (scale 1 - 5) Priority (scale of 1 ' 100) 1 Authentication -corroboration that an entity is who it claims to be. No authentication (0) Password Based (3) Smart card and PIN (3) Biometric (4) Digital certificates. (5) 10 2 Authorization No Authorization (0) Role Based (3) User Based (3) Using Electronic Signatures (for nonrepudiation) (3) Role and User Based (4) 10 3 Access Control No ACL (0) Context Based (3) User Based (3) Role Based (3) All 3 (4) 7 4 Non repudiation Nothing (0) Digital signature (3) Encryption and digital signature (4) 5 5 Audit control Nothing (0) Use Fire wall/ VPN logs (1) Custom made logs (3) Employ managed security services (4) 5 Table 3.1 Presented at the 3rd International Software Testing Conference, India 3.2 Parametric Approach to Security Test Analysis and Design Once the weightages for each security parameter is finalized, the next task is to create test scenarios for testing the security requirements. The weightages assigned to each sub-parameter goes on to suggest the number of scenarios that need to be tested for a particular requirement and the complexity involved. The parametric approach also helps in identification of the extent of data that would be needed for test execution and also the distribution of data based on various scenarios. Also, this will help in identifying the kind of tools that will be needed and determine the appropriateness of a tool for a given type of test. Now the data that is recorded with the parametric template can be tabulated in the below given form: No. Parameter Weightages (Scale of 1- 5) Priority (Scale: 1 ' 100) 1 Authentication 3 10 2 Authorization 2.75 10 3 Access Control 2.6 7 4 Non-Repudiation 2.3 5 5 Audit control 2.0 5 Table 3.2 The table 3.2 above is comprised of the security parameter with its corresponding values of Weightages and Priority levels. These weightages are the average of weightages assigned for the testing activity of each sub-parameter as illustrated in the table 3.1. With the availability of these values for each sub-parameter the test expert is now able to plan the test scenarios to the desired level of priority and depth. 3.3 Security Test bed Implementation In case of application level testing the approach of testing the security vulnerabilities should be more logical. Here logical security deals with the use of computer processing and/or communication capabilities to improperly access information. Second, access control can be divided by type of perpetra- P tor, such as employee, consultant, cleaning or service personnel, as well as categories of employees. The type of test to be conducted will vary upon the condition being tested and can include: Determination that the resources being protected are identified, and access is defined for each resource. Access can be defined for a program or individual. Evaluation as to whether the designed security procedures have been properly implemented and function in accordance with the specifications. Unauthorized access can be attempted in on-line systems to ensure that the system can identify and prevent access by unauthorized sources. Most of the security test scenarios are oriented to test the system in the abnormal conditions. This throws up the challenge of simulating the real life conditions that the test scenarios require. There are various tools that can be used to test various vulnerabilities that the system may have. The choice of such a tool is determined by the extent of vulnerability, the tool is able to test, Customization of the tool should be possible and testing of the system using both the external as well as the internal views. The local users are the internal view and the external users constitute the external views. There are various programming tools that can be programmed to simulate the various access control breaches that can happen. 4 Interpreting Security Test Reports Once tests have been executed and security gaps have been identified, the gaps need to be analyzed in order to suggest improvements. The reports need to be validated as many a times as possible. The reports may be misleading and the actual loopholes might be elsewhere or might not exist at all. The security test reports are like X-ray reports, where a security expert is essential to decipher the vulnerabilities reported and bring out the actual problem report. There are various security reporting tools. Presented at the 3rd International Software Testing Conference, India While selecting a security-reporting tool, the following parameters have to be taken in to consideration: 1. Extent if vulnerability, the tool is able to report. 2. Customization of the tool should be possible. 3. Testing of the system using both the external as well as the internal views. Once the analysis of the report is completed a list of vulnerabilities and the set of security features that are working is generated. The list of vulnerabilities is classified. The classification level of vulnerability is determined by the amount risk involved in the security breach and the cost of fixing the defect. Once the classification is done the vulnerability is fixed and retested."
White Paper,Conclusion,A Parametric Approach for Security Testing of Internet Applications,"A parametric approach to security testing not only, works very well for security requirement capture, effort estimate and task planning but also for testing different levels of security requirements by different components within same application. This approach for requirements gathering comes out to be real handy in capturing those security requirements, which cannot be captured by traditional means. This approach enables one to adopt the parametric matrix at each and every stage of security testing, and improve the values in the matrix after each execution of a project. Due to this capability of incorporating experiential data, the parametric approach can provide the most effective mechanism for security testing of Internet applications."
White Paper,Abstract,DATA ARCHIVAL TESTING,"Today, there is an exponential rise in the amount of data being generated by organizations. This explosion of data increases IT infrastructure needs and has an immense impact on some important business decisions that are dependent on proficient data analytics. These challenges have made data archival extremely important from a data management perspective. Data archival testing is becoming increasingly important for businesses as it helps address these challenges, validate the accuracy and quality of archived data and improve the performance of related applications. The paper is aimed at helping readers better understand the space of data archival testing, its implementation and the associated benefits."
White Paper,Introduction,DATA ARCHIVAL TESTING,"One of the most important aspects of managing a business today is managing its data growth. On a daily basis, the cost of data management outpaces the data storage costs for most organizations. Operational analytics and business intelligence reporting usually require active operational data. Data that does not have any current requirement or usage, known as inactive data, can be archived to a safe and secure storage. Data archiving becomes important for companies who want to manage their data growth, without compromising on the quality of data that resides in their production systems. Many CIOs and CTOs are reworking on their data retention policies and their data archival and data retrieval strategies because of an increased demand for data storage, reduced application performance and the need to be compliant with the ever changing legislations and regulations.1"
White Paper,Main Content,DATA ARCHIVAL TESTING,"Data Archival Testing ' Test Planning Data Archival is the process of moving data that is not required for operational, analytical or reporting purposes to offline storage. A data retrieval mechanism is developed to restore data from the offline storage. The common challenges faced during data archival are: ' Inaccurate or irrelevant data in data archives ' Difficulty in the data retrieval process from the data archives Data archival testing helps address these challenges. While devising the data archival test plan, the following factors need to be taken into consideration: Data Dependencies There are many intricate data dependencies in an enterprise's architecture. The data which is archived should include the complete business objects along with metadata, that helps retain the referential integrity of data across related tables and applications. Data archival testing needs to validate that all related data is archived together for easy interpretation, during storage and retrieval. Data Encoding The encoding of data in the archival database depends on the underlying hardware for certain types of data. To illustrate, data archival testing needs to ensure that the encoding of numerical fields such as integers also archives the related hardware information, for easier future data retrieval and display of data with a different set of hardware. Data Retrieval Data needs to be retrieved from archives for regulatory, legal and business needs. The validation of the data retrieval process ensures that the archived data is easily accessed, retrieved and displayed in a format which can be clearly interpreted without any time consuming manual intervention. Data Archival Testing ' Implementation The data archival testing process includes validating processes which encompass data archival, data deletion and data retrieval. Figure 1 below describes the different stages of a data archival testing process, the business drivers, the different types of data that can be archived and the various offline storage modes. Figure 1: The Data Archival Testing Process External Document ' 2018 Infosys Limited Test the Data Archival 1 process ' Testing the Data Archival process ensures that business entities that are archived includes master data, transaction data, meta data and reference data ' Validates the storage mechanism and that the archived data is stored in the correct format. The data also has to be tested for hardware independence Test the Data Deletion 2 process ' Inactive data needs to be archived and moved to a secure storage for retrieval at a later point and then deleted from all active applications using it. This validation process would verify that that the test data deletion process has not caused any error to any existing applications and dashboards ' When archived data is deleted from systems, verify that the applications and reports are conforming to their performance requirements Test the Data Retrieval 3 process ' Data that has been archived needs to be easily identified and accessible in case of any legal or business needs ' For scenarios that involve urgent data retrievals, processes for the same need to be validated within a defined time period Benefits of Data Archival Testing The benefits of data archival testing are often interrelated and have a significant impact on the IT infrastructure costs for a business. Some of the benefits are: Accomplishing all these benefits determine the success of a data archival test strategy."
White Paper,Conclusion,DATA ARCHIVAL TESTING,"Due to the critical business needs for data retention, regulatory and compliance requirements and a cost effective way to access archived data, many businesses have started realizing and adopting data archival testing. Therefore an organization's comprehensive test strategy needs to include a data archival test strategy which facilitates smooth business operations, ensures fulfillment of all data requirements, maintains data quality and reduces infrastructure costs."
White Paper,Abstract,AN INSIGHT INTO MICROSERVICES TESTING STRATEGIES,"The ever-changing business needs of the industry necessitate that technologies adopt and align themselves to meet demands and, in the process of doing so, give rise to newer techniques and fundamental methods of architecture in software design. In the context of software design, the evolution of 'microservices' is the result of such an activity and its impact percolates down to the teams working on building and testing software in the newer schemes of architecture. This white paper illustrates the challenges that the testing world has to deal with and the effective strategies that can be envisaged to overcome them while testing for applications designed with a microservices architecture. The paper can serve as a guide to anyone who wants an insight into microservices and would like to know more about testing methodologies that can be developed and successfully applied while working within such a landscape."
White Paper,Introduction,AN INSIGHT INTO MICROSERVICES TESTING STRATEGIES,"Microservices attempt to streamline the software architecture of an application by breaking it down into smaller units surrounding the business needs of the application. The benefits that are expected out of doing so include creating systems that are more resilient, easily scalable, flexible, and can be quickly and independently developed by individual sets of smaller teams. Formulating an effective testing strategy for such a system is a daunting task. A combination of testing methods along with tools and frameworks that can provide support at every layer of testing is key; as is a good knowledge of how to go about testing at each stage of the test life cycle. More often than not, the traditional methods of testing have proven to be ineffective in an agile world where changes are dynamic. The inclusion of independent micro-units that have to be thoroughly tested before their integration into the larger application only increases the complexity in testing. The risk of failure and the cost of correction, post the integration of the services, is immense. Hence, there is a compelling need to have a successful test strategy in place for testing applications designed with such an architecture."
White Paper,Main Content,AN INSIGHT INTO MICROSERVICES TESTING STRATEGIES,"The definition of what qualifies as a microservice is quite varied and debatable with some SOA (service-oriented architecture) purists arguing that the principles of microservices are the same as that of SOA and hence, fundamentally, they are one and the same. However, there are others who disagree and view microservices as being a new addition to software architectural styles, although there are similarities with SOA in the concepts of design. Thus, a simpler and easier approach to understand what microservices architecture is about, would be to understand its key features: ' Self-contained and componentized ' Decentralized data management ' Resilient to failures ' Built around a single business need ' Reasonably small (micro) The points above are not essentially the must-haves for a service to be called a microservice, but rather are 'good-to-have.' The list is not a closed one either, as it can also include other features that are common among implementations of a microservices architecture. However, the points provide a perspective of what can be termed as a microservice. Now that we know what defines a microservice, let us look at the challenges it poses to testers. The distributed and independent nature of microservices development poses a plethora of challenges to the testing team. Since microservices are typically developed by small teams working on multiple technologies and frameworks, and are integrated over light-weight protocols (usually ReST over HTTPs, though this is not mandatory), the testing teams would be inclined to use the Web API testing tools that are built around SOA testing. This, however, could prove to be a costly mistake as the timely availability of all services for testing is not guaranteed, given that they are developed by different teams. Furthermore, the individual services are expected to be independent of each other although they are interconnected with one another. In such an environment, a key factor in defining a good test strategy would be to understand the right amount of testing required at each point in the test life cycle. Additionally, if these services integrate with another service or API that is exposed externally or is built to be exposed to the outside world, as a service to consumers, then a simple API testing tool would prove to be ineffective. With microservices, unlike SOA, there is no need to have a service level aggregator like ESB (enterprise service bus) and data storage is expected to be managed by the individual unit. This complicates the extraction of logs during testing and data verification, which is extremely important in ensuring there are no surprises during integration. The availability of a dedicated test environment is also not guaranteed as the development would be agile and not integrated. Microservices architecture Challenges in testing microservices External Document ' 2018 Infosys Limited In order to overcome the challenges outlined above, it is imperative that the test manager or lead in charge of defining the test strategy appreciates the importance of Mike Cohn's Test Pyramidi and is able to draw an inference of the amount of testing required. The pictorial view emphasizes the need to have a bottom-up approach to testing. It also draws attention to the number of tests and in turn, the automation effort that needs to be factored in at each stage. The representation of the pyramid has been slightly altered for the various phases in microservice testing. These are: i. Unit testing The scope of unit testing is internal to the service and in terms of volume of tests, they are the largest in number. Unit tests should ideally be automated, depending on the development language and the framework used within the service. ii. Contract testing Contract testing is integral to microservices testing and can be of two types, as explained below. The right method can be decided based on the end purpose that the microservice would cater to and how the interfaces with the consumers would be defined. a) Integration contract testing: Testing is carried out using a test double (mock or stub) that replicates a service that is to be consumed. The testing with the test double is documented and this set needs to be periodically verified with the real service to ensure that there are no changes to the service that is exposed by the provider. b) Consumer-driven contract testing: In this case, consumers define the way in which they would consume the service via consumer contracts that can be in a mutually agreed schema and language. Here, the provider of the service is entrusted with copies of the individual contracts from all the consumers. The provider can then test the service against these contracts to ensure that there is no confusion in the expectations, in case changes are made to the service. iii.Integration testing Integration testing is possible in case there is an available test or staging environment where the individual microservices can be integrated before they are deployed. Another type of integration testing can be envisaged if there is an interface to an externally exposed service and the developer of the service provides a testing or sandbox version. The reliance on integration tests for verification is generally low in case a consumerdriven contract approach is followed. iv. End-to-end testing It is usually advised that the top layer of testing be a minimal set, since a failure is not expected at this point. Locating a point of failure from an end-to-end testing of a microservices architecture can be very difficult and expensive to debug. Mike Cohn's Testing Pyramid E2E UI Testing Scope of Testing Execution Time Number of Tests Integration Testing Contrast Testing Unit Testing Approach to testing microservices and testing phases External Document ' 2018 Infosys Limited ' For unit testing, it would be ideal to use a framework like xUnit (NUnit or JUnit). The change in data internal to the application needs to be verified, apart from checking the functional logic. For example, if reserving an item provides a reservation ID on success in the response to a REST call, the same needs to be verified within the service for persistence during unit testing. ' The next phase of testing in contract testing. In case there are several dissimilar consumers of the service within the application, it is recommended to use a tool that can enable consumer-driven contract testing. Open source tools like Pact, Pacto, or Janus can be used. This has been discussed in further detail in the last example and hence, in the context of this example, we will assume that there is only a single consumer of the service. For such a condition, a test stub or a mock can be used for testing by way of REST over HTTPS Item ID. date Reservation ID Application Mocked Service Unit Testing Scope Integration Testing Scope Select an Item Reserve an item Integration Contract Testing Scope integration contract testing. Data being passed between the services needs to be verified and validated using tools like SOAPUI. For example, an item number being passed between the services that selects it to the one that reserves it. ' E2E tests should ensure that dependency between microservices is tested at least in one flow, though extensive testing is not necessary. For example, an item being purchased should trigger both the 'select' and 'reserve' microservices. In order to get a clear understanding of how testing can be carried out in different scenarios, let us look at a few examples that can help elucidate the context of testing and provide a deeper insight into the test strategies used in these cases. ' Scenario 1: Testing between microservices internal to an application or residing within the same application This would be the most commonly encountered scenario, where there are small sets of teams working on redesigning an application by breaking it down into microservices from a monolithic architecture. In this example, we can consider an e-commerce application that has two services a) selecting an item and b) reserving an item, which are modelled as individual services. We also assume there is a close interaction between these two services and the parameters are defined using agreed schemas and standards. Testing scenarios and test strategy External Document ' 2018 Infosys Limited ' Unit tests should ensure that the service model is catering to the requirements defined for interacting with the external service, while also ensuring that internal logic is maintained. Since there is an external dependency, there exists a need to ensure that requirements are clearly defined and hence, documenting them remains key. TDD approach is suggested where possible and any of the popular frameworks discussed in the previous example can be chosen for this. ' Contract testing can be used in this case to test the expectations from consumer microservices, that is, the applications internal service, decoupling it from the dependency on the external web service to be available. In this context, test doubles, created using tools like Mockito or Mountebank, can be used to define the PayPal API's implementation and tested. This is essentially integration contract testing and again needs to be verified with a live instance of the external service periodically, to ensure that there is no change to the external service that has been published and consumed by the consumer. ' Integration tests can be executed if the third-party application developer ' Scenario 2: Testing between internal microservices and a third-party service Here, we look at a scenario where a service with an application consumes or interacts with an external API. In this example, we have considered a retail application where paying for an item is modelled as a microservices and interacts with the PayPal API that is exposed for authenticating the purchase. Let us look at the testing strategy in each phase of the test cycle in this case: provides a sandbox (e.g. PayPal's Sandbox APIii ) for testing. Live testing for integration is not recommended. If there is no availability of a sandbox, integration contract testing needs to be exercised thoroughly for verification of integration. ' E2E tests should ensure that there are no failures in other workflows that might integrate with the internal service. Also, a few monitoring tests can be set up to ensure that there are no surprises. In this example, selecting and purchasing an item (including payment) can be considered an E2E test that can run at regular and pre-defined intervals to spot any changes or breaks. PayPal (External) API PayPal Sandbox API Unit Testing Scope Application Pay for an Item Test Double Virtual Provider Firewall Contract Testing Scope Integration Testing Scope REST over HTTPS External Document ' 2018 Infosys Limited ' Unit tests should cover testing for the various functions that the service defines. Including a TDD development can help here to ensure that the requirements are clearly validated during unit testing. Unit test should also ensure that data persistence within the service is taken care of and passed on to other services that it might interact with. ' Contract testing ' In this example, consumers need to be set up by using tools that help define contracts. Also, the expectations from a consumer's perspective need to be understood. The consumer should be well-defined and in line with the expectations in the live situation and contracts should be collated and agreed upon. Once the consumer contracts are validated, a consumer-driven contract approach to testing can be followed. It is assumed that in this scenario, there would be multiple consumers and hence, individual consumer contracts for each of them. For example, in the above context, a local retailer and an international retailer can have ' Scenario 3: Testing for a microservice that is to be exposed to public domain Consider an e-commerce application where retailers can check for availability of an item by invoking a Web API. different methods and parameters of invocation. Both need to be tested by setting up contracts accordingly. It is also assumed that consumers subscribe to the contract method of notifying the provider on the way they would consume the service and the expectations they have from it via consumer contracts. ' E2E tests ' minimal set of E2E tests would be expected in this case, since interactions with external third parties are key here"
White Paper,Conclusion,AN INSIGHT INTO MICROSERVICES TESTING STRATEGIES,"Improvements in software architecture has led to fundamental changes in the way applications are designed and tested. Teams working on testing applications that are developed in the microservices architecture need to educate themselves on the behavior of such services, as well as stay informed of the latest tools and strategies that can help deal with the challenges they could potentially encounter. Furthermore, there should be a clear consensus on the test strategy and approach to testing. A consumer-driven contract approach is suggested as it is a better way to mitigate risk when services are exposed to an assorted and disparate set of consumers and as it further helps the provider in dealing with changes without impacting the consumer. Ensuring that the required amount of testing is focused at the correct time, with the most suitable tools, would ensure that organizations are able to deal with testing in such an environment and meet the demands of the customer"
White Paper,Introduction,ENHANCING QUALITY ASSURANCE AND TESTING PROCEDURES,"In today's world, most large and mid-size organizations have opted to centralize their software quality assurance (QA) and testing functions. If you are part of any such dedicated QA and testing team, looking to learn more about the latest QA trends, then, this paper is for you. The Software World Quality Report, 2015- 2016 indicates an average expenditure of 26% in 2014 and 35% in 2015 on QA and testing. In fact, many organizations began allocating a yearly testing budget since about a decade ago, or even before. These budgets are allocated for the actual testing, the testing processes, procedures, tools, etc. But what happens if the defined processes are not implementable or the teams find them to be outdated and teams are unable to stick to these standards? The obvious outcome in such a scenario would be a decrease in QA effectiveness, increase in time taken and team frustration ' all leading to lower production quality. That's why testing processes need continuous review and enhancement, more so with newer technologies and shorter sprints (idea to production). In this paper, I have outlined seven keys areas that the QA and testing function must focus on to enhance their organizational maturity and bring innovation in their dayto-day work."
